Date,aapl,msft,nvda,amzn,jpm,jnj,xom,tsla,nflx,v,googl,meta,brk_b,unh,ma,hd,pg,cost,dis,intc
2013-11-20,0.0070294905,-0.0026750872,-0.0022126785,-0.007900465,-0.0022063914,-0.0054710284,-0.003979676,-0.021775695,-0.0050775222,0.009997091,-0.008713717,-0.032069538,-0.0037012966,0.006818945,0.0051911734,-0.011332705,-0.00684156,-0.015668904,0.0006538788,-0.003647911
2013-11-21,0.039628863,0.03174162,0.0266112,0.045418598,0.014558594,-0.00034420355,0.010699446,0.01641514,0.044742808,0.017346615,0.02014566,0.035780996,0.008681811,0.0021858357,0.018556174,-0.008404159,-0.0014710033,-0.010519487,0.002878704,0.005099357
2013-11-22,-0.0022393162,0.0066277212,0.0015202048,0.008542709,0.006325879,0.0028498597,-0.0013494403,0.008024323,0.017943267,0.00400352,0.006359662,0.008634166,0.0068783015,-0.012714449,0.0061909035,0.0044742352,0.0035789534,0.0004903781,0.0041206023,0.0027269179
2013-11-25,-0.0013465169,-0.01175941,-0.011832875,-0.015077584,0.0012316543,0.0017885233,0.0013422321,0.0027609868,-0.016721316,-0.004674413,-0.02138906,-0.031596966,-0.0009770361,0.019396441,0.00044822763,-0.008155153,-0.0060915174,0.008095146,-0.002151928,0.0025947676
2013-11-26,-0.01045384,0.014750512,-0.007862976,0.016138654,0.0021832436,-0.0115710255,-0.00462387,0.002545984,-0.021945877,0.0061469916,0.009687046,0.018618677,-0.002843645,0.002688742,0.005041359,-0.008262066,0.0018633958,0.00036408007,0.00023606932,0.00045101275
2013-11-27,-0.0058040414,-0.0045796987,-0.00013384852,0.024287138,0.005957572,-0.0027073938,-0.00022613571,-0.025861956,0.030633014,0.00026285066,-0.0031791325,-0.0050654337,0.002662865,-0.0054656626,0.006830288,-0.0034802395,-0.00023953132,0.0062501766,0.0061854944,0.01030176
2013-11-29,-0.0066287853,-0.00069804525,-0.03123893,-0.013799938,0.00045211925,-0.0019454281,-0.00423746,-0.028144842,-0.026962537,-0.003237672,-0.0063548973,-0.032989234,-0.0018957596,0.015372734,-0.0011364876,-0.0030676585,0.0008326813,0.009434913,-0.0014843864,-0.011918275
2013-12-02,0.008946575,-0.01730705,0.0022107805,-0.0048520127,-0.008436736,0.012092688,0.008089462,0.027685486,0.017615082,-0.004831099,-0.004456475,0.009891539,0.0007586832,0.0155928675,-0.0012192612,0.015758049,0.008133176,-0.009729988,-0.0060566925,0.008303484
2013-12-03,-0.009162368,-0.0064720563,-0.003056312,-0.007280926,-0.0050656353,-0.005696916,-0.008133961,0.0048008407,0.013423044,-0.008933453,0.0017790359,0.013100667,-0.0029859813,-0.015398973,-0.007828333,0.0010422238,0.0010476738,-0.005677599,-0.004664856,0.0014282591
2013-12-04,0.0037766998,-0.002798125,7.859172e-05,0.0013017096,0.0010647748,0.0017998454,-0.0026196195,0.0033614389,0.003951542,-0.0050327224,0.0059357025,0.006065506,0.0013889675,-0.011067929,-0.0017723534,-0.004646094,-0.005796653,-0.007942676,-0.0011357105,0.0053202747
2013-12-05,-0.0048611937,-0.006401138,-0.004906186,0.015328743,-0.004896908,-0.017610308,-0.0053691277,0.07466507,-0.027178897,-0.0014526108,-0.024779618,-0.007463913,-0.009602648,-0.0136330575,0.006395047,-0.00069491146,0.007850527,-0.003450036,0.004268258,0.0029235724
2013-12-06,0.02390442,0.005438967,0.014332458,0.006855126,0.013442234,0.011585774,0.0075831,0.027980473,0.010803079,0.009104722,0.010089318,0.02562784,0.014291115,0.0137131475,0.007964653,0.011830566,0.0085412925,0.0112142805,0.010406902,0.01651558
2013-12-09,0.02443498,0.0013222792,-0.012956666,-0.0059867203,-0.0003641958,0.006704789,0.0038539278,0.012161007,-0.003972411,-0.0073909927,-0.006155725,0.008937746,0.0030642978,0.009374085,-0.0034756311,0.010269852,0.0072417078,0.008322234,-0.0025257391,-0.0131642595
2013-12-10,0.02348729,-0.0041013556,-0.0036531193,-0.028127387,-0.007180388,0.0041548726,-0.0029721453,-0.010897208,-0.01886448,-0.0046087997,-0.011553848,-0.02821826,-0.00093475776,-0.0033359216,-0.0058997776,0.0019301574,-0.0028955264,0.003876075,-0.0028856068,-0.009653792
2013-12-11,-0.008901896,-0.01643009,-0.0065264157,-0.02142226,-0.014805106,-0.0060369084,-0.008099666,-0.008371303,-0.009621389,-0.0151072685,-0.002743734,-0.0040772967,-0.011251845,-0.008006291,-0.014749642,-0.006461565,-0.008167129,-0.015474509,-0.014388063,-0.0027095843
