aapl,msft,nvda,amzn,jpm,jnj,xom,tsla,nflx,v,googl,meta,brk_b,unh,ma,hd,pg,cost,dis,intc
-0.0029821228,-0.012735587,-0.003427798,-0.005704324,-0.0031647272,-0.005009938,-0.0026417458,0.016516326,0.0023497576,-0.008406896,-0.009073196,0.0058009434,-0.0043923073,0.0029484406,-0.003240735,-0.010246758,-0.007176987,-0.006292961,-0.008562097,-0.005132668
0.010774523,0.0065683452,0.009194566,0.03265073,0.015819741,-0.0036882604,0.0036297399,0.027250454,-0.0022071414,0.012173759,0.0019941716,0.020505056,0.0073137507,0.002353514,0.016856937,-0.0075359484,-0.0021527985,0.0067333747,0.008243329,0.012512442
0.04208952,-0.0027876608,0.0031399375,0.00389478,0.0060983086,0.005172337,0.005255031,0.014070138,0.02573977,0.00065348437,-0.004057513,-0.0024378719,0.0066698696,0.012537432,0.0044607716,0.004716685,0.003174586,0.006247083,0.0048799417,-0.0051810006
0.006965426,-0.01787927,0.010762278,-0.01736945,0.0014437104,-0.0038545607,-0.0015457077,0.046730507,-0.024890298,-0.010982859,-0.028144361,-0.023003785,-0.0006351374,0.0050027748,-0.0031654367,-0.008158503,-0.006073354,0.014645448,0.0021824534,0.0076351985
0.029729705,-0.003692491,-0.0053864205,0.002011051,0.0043350635,-0.010470375,-0.0056649856,0.007405769,-0.030512447,-0.0028045974,0.0021314844,0.0026412443,-0.002035869,0.018529043,-0.00076235784,-0.008483696,0.0030459329,0.0070312964,0.0023668297,0.011423843
0.022738926,-0.00843467,0.0063889893,0.0065574627,0.005792944,-0.0026249064,0.0015768246,0.005121859,0.011243198,0.0030551478,0.007847403,0.020314008,0.0033577138,0.017520389,0.004948824,-0.0038896753,-0.00064646744,-0.0055060703,0.0017220392,0.010981735
0.004591183,-0.0019583825,0.0058860243,0.006661427,0.00059181056,-0.005282177,-0.0027442342,0.013528981,-0.00428649,-0.0041052205,-0.009350423,0.0017823711,-0.0011065115,-0.0024326611,0.0031807728,-0.0030264542,0.0007094819,-0.0038370148,-0.0016560423,-0.00023844827
-0.023497278,0.005046786,0.023281116,-0.008013314,-0.0105649615,0.010662343,0.004284582,0.026539193,-0.032853287,-0.0076978677,0.00049514393,-0.023257082,-0.00095840346,-0.014235297,-0.0013695078,0.01608383,0.005854247,-0.0026852735,-0.00047055306,-0.0055272044
-0.024686217,0.0013513498,0.008067448,0.009596105,-0.0043678535,-0.002604206,-0.0025547368,0.012918254,0.037450917,-0.005903561,0.000508178,0.0019241986,-0.002843672,-0.008285143,-0.0028827237,0.0011058528,0.0011308109,-0.006146894,-0.004076981,-0.0011916165
-0.033079363,-0.0022703647,-0.0047832374,-0.0042217877,0.0003421911,0.0040023243,-0.0011211738,-0.005491257,0.0044074804,0.00010526902,0.0026874626,0.00412086,0.0015580675,-0.014388878,0.002100634,-0.0045866845,-0.005861602,-0.0047329203,-0.0054232236,-0.0038392737
0.008529307,0.0035804848,-0.001875116,0.0039932146,-0.006057242,-0.015694257,-0.010421072,0.03556547,0.036315173,-0.0046317913,0.0014026796,-0.0029350212,-0.0067295246,-0.0034113226,-0.0008638138,-0.00053994637,0.0071973763,-0.01442161,-0.0053784414,-0.021303583
0.0012012238,0.010390867,0.0018305602,0.004485583,0.015735324,0.012048529,0.004074672,-0.004218623,0.018331224,0.018537357,0.008979146,0.008429291,0.015414015,0.013849448,0.015202835,0.011879591,0.008777088,0.010918617,0.010241188,0.011360494
0.010937307,0.0021567312,0.011570118,-0.007369956,-8.918064e-05,0.005265658,0.001020482,-0.045509264,-0.00960842,0.010047928,-0.007232639,-0.017761849,0.004163809,0.002812739,0.0052682078,0.010323882,0.0071542584,0.008516746,-0.00012115715,0.015676387
0.013273957,-0.01630616,-0.009962328,-0.005694529,-0.008006378,0.008374266,0.0056983535,0.0039216564,-0.017741006,0.0035379666,-0.021483466,-0.012425501,-0.0021562704,0.0073171477,0.003911206,0.0020456524,-0.0027705436,-0.00460356,-0.0039440305,0.0066284994
-0.014743284,-0.008888268,-0.02015356,-0.029991701,-0.014207989,-0.002775707,-0.008486498,-0.0028304588,-0.006206573,-0.013344794,-0.010363271,-0.026373431,-0.010812698,-0.013029287,-0.014892979,-0.0083851125,-0.0075594685,-0.009509355,-0.010281421,-0.017260995
-0.011324038,0.003943382,-0.01374093,-0.01323564,0.0029872642,-0.0032486115,-0.0044247196,-0.0108640855,-0.054979943,-0.0007921364,-0.015631894,-0.054603674,-0.0029849294,-0.00024814042,0.003057166,-0.01583598,-0.014039388,0.0026116925,0.002583318,-0.0067336997
-0.018879032,-0.005529183,-0.0022828365,0.007955037,0.0028438836,-0.005199831,-0.0024761918,-0.013955576,0.006129562,0.007579706,-0.0051628263,0.0016276971,0.001504721,-0.0077785226,0.006413863,-0.0035517563,-0.002887996,0.0022287099,-0.002166286,0.003258631
0.009255676,0.008785859,-0.008706657,-0.0005414048,0.015655182,-0.0059086573,-0.008915319,0.033546984,-0.048833463,0.004629505,0.030457659,0.032787222,0.008182638,0.023255195,0.0036551731,0.0007515726,0.0037345395,0.0023973584,0.02721474,-0.0048138727
-0.008597621,-0.0107410215,0.0028910246,0.00039901165,-0.0022265662,-0.008712118,-0.0063527017,0.003046985,-0.008330543,-0.0032140738,0.0033782206,0.011076151,-0.002774101,-0.009239857,-0.003098815,-0.0041595935,-0.0030056534,0.0005519879,0.0010097213,0.0076588406
-0.0049025575,0.01609727,0.010576855,0.027041499,0.015784724,0.02106868,0.016720396,0.025688354,0.045490123,0.013620468,0.010674773,0.026467325,0.017880207,0.013207526,0.01613142,0.021001926,0.018991109,0.02321307,0.010080898,0.008027257
-0.0037699565,-0.0045246794,-0.0027456162,0.004671176,-0.001190848,0.0077040307,0.0034386402,0.0039097234,0.002194141,-0.006710555,-0.0020157974,0.010513335,0.0011604925,-0.0033133072,-0.003252034,0.0024411203,0.0009213316,0.0059610037,-0.00062989513,0.005031711
0.008608834,0.001639917,0.024180874,0.001075549,0.014043452,-0.019713059,-0.011777974,0.06484714,-0.011812346,-0.0026922626,0.015119933,0.013221953,0.0050411685,-0.0017301994,0.0030513871,-0.0062596523,-0.0048133116,-0.0047231996,0.007359665,0.0036021622
0.015113611,0.0036923036,0.008086149,0.007250296,0.011833122,-0.0047612926,-0.0015085391,0.014043467,-0.013844655,0.011577021,-7.292442e-05,0.010075213,0.0065508825,0.00567103,0.011184231,-0.0012907896,-0.0004101766,-0.0007835247,0.0055880942,0.007369905
0.008253415,-0.0058122044,0.0026217555,0.012558246,0.0062747723,0.002700633,0.00414621,0.019448444,0.015485806,-0.0044578286,-0.007818513,0.012925697,0.0048263264,0.0047277515,0.00554075,0.00011807234,-0.0011370443,0.0008086312,-0.00084341504,0.003508357
-0.0248274,0.0176289,0.012898148,0.02075894,-0.0012987604,0.004973894,0.0064802794,0.0083882855,0.009213215,0.0068532196,0.0108563565,0.023151172,0.0042449953,-0.0026487536,0.0058500217,0.019058827,0.017981734,0.013925088,0.004881918,0.0038166621
-0.02192528,0.0060838806,0.03519069,-0.010640465,0.0019210587,-0.0015640203,-0.0034524393,-0.017183967,-0.018918555,-0.0022363635,0.01727426,0.016297907,0.0013947494,-0.023232186,-0.011261181,-0.0061003207,-0.0068710926,0.007014293,0.008210575,-0.0052529695
0.01641671,0.0055914195,0.0002642268,0.010563712,-0.002814756,-0.002293513,0.0014221364,0.0035409085,-0.008716782,-0.0032021138,-0.0065299505,0.015259467,-0.0007571407,2.388761e-05,-0.000579052,0.009139218,0.008563794,0.0060909507,-0.003715781,-0.0045201313
-0.0070689013,0.008066435,-0.0031362544,0.0036036724,0.004932897,0.0043258797,0.0023894801,-0.006706024,-0.0039640362,0.0141798435,0.00075804256,0.0014708205,0.0055137277,0.0016791571,0.011388381,0.005498487,0.0041807424,0.002402947,0.0046373,0.0016593272
-0.0077335876,-0.0031207548,-0.006250999,-0.021188984,-0.014418087,0.0013082988,0.0015393922,0.00512716,0.018426906,-0.019390482,-0.0075773364,-0.008360779,-0.008229054,0.009800183,-0.017237779,-0.009248371,-0.010205461,0.0009512119,-0.015822217,-0.025123907
0.01695763,-0.014811495,0.003647915,0.0104366215,0.0032015038,-0.0063772057,-0.001587912,0.0065009105,0.02049614,-0.005307792,0.004807272,0.013729263,0.00049713516,-0.0036567333,0.00094454514,-0.0066204336,-0.006395428,-0.0026702667,0.0018863364,0.017375441
0.009886801,-0.0101905,-0.022132998,0.0043152906,-0.006169819,0.012413083,0.005646687,-0.063429564,0.006341118,-0.0021468017,0.0024927515,-0.013241751,-0.00065802556,0.022148851,0.00093057635,-0.001493598,-0.0047640903,-0.0022624866,0.0047667683,0.0014230849
0.026056718,0.020441279,0.006973211,0.009854351,0.009076133,-0.00374953,-0.0027945782,-0.010778616,-0.007355774,0.01412581,0.011908937,-0.014553725,0.007429082,0.0071044466,0.0082102595,0.012804041,0.012585333,0.0061834482,0.013765462,-0.014202866
0.012482115,-0.0039374996,0.0071515567,-0.00037698494,-0.0003139857,-0.0023237772,-0.002060731,0.0018431947,-0.0020604841,0.0041043274,0.0032501458,0.018144684,0.0010050696,0.00095920824,0.00057418825,0.004410427,0.0037732688,-0.002444589,-0.0029806872,0.0115166595
